"Actions","Dejanja"
"Add Answer","Dodaj odgovor"
"Add New Answer","Dodaj nov odgovor"
"Add New Poll","Dodaj novo anketo"
"Answer Title","Naslov odgovora"
"Answer Title:","Naslov odgovora:"
"Answer with the same title in this poll","Odgovor z enakim naslovom v tej anketi"
"Are you sure you want to delete it?","Ali ste prepričani, da želite to izbrisati?"
"Assigned Answers","Dodeljeni odgovori"
"Closed","Zaprto"
"Community Poll","Anketa skupnosti"
"Date Closed","Datum zaprtja"
"Date Posted","Datum objave"
"Delete","Izbriši"
"Delete Answer","Izbriši odgovor"
"Delete Poll","Izbriši anketo"
"Disallow Voting in a Poll Multiple Times from Same IP-address","Onemogoči glasovanje v anketi večkrat iz enakega naslova IP"
"Edit Answer '%s'","Uredi odgovor '%s'"
"Edit Poll '%s'","Uredi anketo '%s'"
"Edit Poll Answer","Uredi odgovor ankete"
"ID","ID"
"Invalid Answer.","Neveljavni odgovor."
"New Poll","Nova anketa"
"Number of Responses","Število odzivov"
"Open","Odpri"
"Poll Answers","Odgovori ankete"
"Poll Information","Informacije ankete"
"Poll Manager","Upravitelj anket"
"Poll Question","Vprašanje ankete"
"Poll information","Informacije ankete"
"Poll with the same question","Anketa z enakim vprašanjem"
"Polls","Ankete"
"Save Answer","Shrani odgovor"
"Save Poll","Shrani anketo"
"Status","Status"
"The answer has been saved.","Odgovor je bil shranjen."
"The poll does not exist.","Anketa ne obstaja."
"Unable to find an answer to delete.","Odgovora za izbris ni mogoče najti."
"Visible In","Vidno v"
"Vote","Glasuj"
"Votes Count","Število glasov"
"Votes Count:","Število glasov:"
