"Actions","Akcije"
"Add Answer","Dodajte odgovor"
"Add New Answer","Dodajte nov odgovor"
"Add New Poll","Dodajte novo anketo"
"Answer Title","Naslov odgovora"
"Answer Title:","Naslov odgovora:"
"Answer with the same title in this poll","Odgovor z enakim naslovom v tej anketi"
"Are you sure you want to delete it?","Ali ste prepričani, da želite to izbrisati?"
"Assigned Answers","Dodeljeni odgovori"
"Closed","Zaprto"
"Community Poll","Anketa skupnosti"
"Date Closed","Datum zaprtja"
"Date Posted","Datum objave"
"Delete","Izbris"
"Delete Answer","Izbrišite odgovor"
"Delete Poll","Izbrišite anketo"
"Disallow Voting in a Poll Multiple Times from Same IP-address","Onemogočite glasovanje v anketi večkrat iz enakega naslova IP"
"Edit Answer '%s'","Uredite odgovor '%s'"
"Edit Poll '%s'","Uredite anketo '%s'"
"Edit Poll Answer","Uredite odgovor ankete"
"ID","ID"
"Invalid Answer.","Neveljavni odgovor."
"New Poll","Nova anketa"
"Number of Responses","Število odzivov"
"Open","Odprite"
"Poll Answers","Odgovori ankete"
"Poll Information","Informacije ankete"
"Poll Manager","Upravitelj ankete"
"Poll Question","Vprašanje ankete"
"Poll information","Informacije ankete"
"Poll with the same question","Anketa z enakim vprašanjem"
"Polls","Ankete"
"Save Answer","Shranite odgovor"
"Save Poll","Shranite anketo"
"Status","Status"
"The answer has been saved.","Odgovor je bil shranjen."
"The poll does not exist.","Anketa ne obstaja."
"Unable to find an answer to delete.","Odgovora za izbris ni mogoče najti."
"Visible In","Vidno v"
"Vote","Glasujte"
"Votes Count","Število glasov"
"Votes Count:","Število glasov:"
