"1 star","1 zvezdica"
"2 stars","2 zvezdici"
"3 stars","3 zvezdice"
"4 stars","4 zvezdice"
"5 stars","5 zvezdic"
"Add New Rating","Dodaj novo oceno"
"Assigned Options","Dodeljene opcije"
"Be the first to review this product","Bodite prvi, da pregledate ta produkt"
"Default Value","Privzeta vrednost"
"Delete Rating","Izbriši oceno"
"Edit Rating","Uredi oceno"
"ID","ID"
"If you do not specify a rating title for a store, the default value will be used.","Če ne določite naslova ocene za trgovino, bo uporabljena privzeta vrednost."
"Manage Ratings","Upravljanje ocen"
"New Rating","Nova ocena"
"Option Label","Oznaka možnosti"
"Option Title","Naslov možnosti"
"Option Title:","Naslov možnosti:"
"Please select one of each ratings above","Izberite eno izmed vsakih ocen zgoraj"
"Rating Information","Informacije ocene"
"Rating Name","Ime ocene"
"Rating Options","Možnosti ocen"
"Rating Title","Naslov ocene"
"Rating Visibility","Vidnost ocene"
"Rating isn't Available","Ocena ni na voljo"
"Rating with the same title","Ocena z enakim naslovom"
"Save Rating","Shrani oceno"
"Sort Order","Vrstni red"
"Visible In","Vidno v"
