"Alert Email Sender","Opozorilo e-pošte pošiljatelja"
"Alert subscription has been saved.","Opozorilo naročila je bilo shranjeno."
"Allow Alert When Product Comes Back in Stock","Omogočite opozorilo, ko pride produkt nazaj na zalogo"
"Allow Alert When Product Price Changes","Omogočite opozorilo, ko se cena produkta spremeni"
"Click here not to receive alerts for this product","Kliknite tu, da ne prejemate opozoril za ta produkt"
"Error Email Recipient","Napaka e-pošte prejemnika"
"Error Email Sender","Napaka e-pošte pošiljatelja"
"Error Email Template","Napaka predloge e-pošte"
"Frequency","Frekvenca"
"Not enough parameters.","Ni dovolj parametrov."
"Price Alert Email Template","Predloga e-pošte opozorila cene"
"Price:","Cena:"
"Product Alerts","Opozorila produkta"
"Product Alerts Run Settings","Zagonske nastavitve opozorila produkta"
"Product alerts Cron error","Napaka periodičnega opravila opozorila produkta"
"Product price alert","Opozorilo cene produkta"
"Product stock alert","Opozorilo zaloge produkta"
"Regular Price:","Običajna cena:"
"Sign up for price alert","Prijavite se za opozorilo cene"
"Sign up to get notified when this product is back in stock","Prijavite se, da dobite obvestilo, ko bo ta produkt nazaj na zalogi"
"Special price:","Posebna cena:"
"Start Time","Začetek"
"Stock Alert Email Template","Predloga e-pošte opozorila zaloge"
"The alert subscription has been deleted.","Prijava opozorila je bila izbrisana."
"The alert subscription has been saved.","Prijava opozorila je bila shranjena."
"The product is not found.","Produkt ni bil najden."
"The product was not found.","Produkta ni bilo mogoče najti."
"Unable to update the alert subscription.","opozorilo prijave ni bilo mogoče posodobiti."
"Unsubscribe from all price alerts","Odjavite se od vseh opozoril cen"
"Unsubscribe from all stock alerts","Odjavite se od vseh opozoril zalog"
"You are receiving this notification because you subscribed to receive alerts when the following products are back in stock:","To obvestilo prejemate, ker ste se prijavili, da dobivate opozorila, ko bodo sledeči produkti nazaj na zalogi:"
"You are receiving this notification because you subscribed to receive alerts when the prices for the following products changed:","To obvestilo prejemate, ker ste se prijavili, da dobivate opozorila, ko se cene sledečih produktov spremenijo:"
"You will no longer receive price alerts for this product.","Za ta produkt ne boste več prejemali opozoril cen."
"You will no longer receive stock alerts for this product.","Za ta produkt ne boste več prejemali opozoril zaloge."
"You will no longer receive stock alerts.","Ne boste več prejemali opozoril zaloge."
