"%s file does not exists or is not readable","Datoteka %s ne obstaja ali pa ni na voljo za branje"
"-- Please Select --","-- Izberite --"
"Adapter must be an instance of Mage_ImportExport_Model_Import_Adapter_Abstract","Adapter mora biti instanca Mage_ImportExport_Model_Import_Adapter_Abstract"
"Adapter object must be an instance of %s","Objekt adapterja mora biti instanca %s"
"Adapter type must be a non empty string","Tip adapterja ne sme biti prazen niz"
"Append Complex Data","Pripni kompleksne podatke"
"Attribute Code","Koda atributa"
"Attribute Label","Oznaka atributa"
"Attribute does not has options, so filtering is impossible","Filtriranje ni mogoče, ker atribut nima možnosti"
"Begin data validation","Pričnite preverjanje podatkov"
"Begin export of %s","Pričnite izvažati %s"
"Begin import of ""%s"" with ""%s"" behavior","Pričnite uvažati ""%s"" z vedenjem ""%s"""
"CSV","CSV"
"Can not determine attribute filter type","Ni mogoče določiti vrste filtra atributa"
"Can not find required columns: %s","Zahtevanih stolpcev ni mogoče najti: %s"
"Cannot get autoincrement value","Vrednosti avtomatskega povečanja ni mogoče dobiti "
"Check Data","Preverite podatke"
"Checked rows: %d, checked entities: %d, invalid rows: %d, total errors: %d","Preverjene vrstice: %d, preverjene entitete: %d, neveljavne vrstice: %d, skupaj napak: %d"
"Column names have duplicates","Imena stolpcev imajo duplikate"
"Column names is empty or is not an array","Imena stolpcev so prazna ali pa niso polja"
"Column names: ""%s"" are invalid","Imena stolpcev: ""%s"" so neveljavna"
"Customers","Kupci"
"Data is invalid or file is not uploaded","Podatki niso veljavni ali pa datoteka ni naložena"
"Delete Entities","Izbriši entitete"
"Destination directory is not writable","Direktorij destinacije ni zapisljiv"
"Destination file is not writable","Datoteka destinacije ni zapisljiva"
"Destination file path must be a string","Pot datoteke destinacije mora biti niz"
"Done import data validation","Preverjanje uvažanja podatkov opravljeno"
"Duplicate Unique Attribute for '%s'","Duplicirajte unikaten atribut za '%s'"
"Entity Type","Tip entitete"
"Entity adapter obejct must be an instance of Mage_ImportExport_Model_Export_Entity_Abstract","Adapter entitete objekta mora biti instanca Mage_ImportExport_Model_Export_Entity_Abstract"
"Entity adapter object must be an instance of Mage_ImportExport_Model_Import_Entity_Abstract","Adapter entitete objekta mora biti instanca Mage_ImportExport_Model_Import_Entity_Abstract"
"Entity is unknown","Entiteta ni znana"
