"A block identifier with the same properties already exists in the selected store.","Identifikator bloka z enakimi lastnostmi že obstaja v izbrani trgovini."
"A directory with the same name already exists. Please try another folder name.","Direktorij z enakim imenom že obstaja. Prosimo, poskusite drugo ime direktorija."
"A page URL key for specified store already exists.","Ključ URL strani za izbrano trgovino že obstaja."
"Action","Akcija"
"Add New Block","Dodajte nov blok"
"Add New Page","Dodajte novo stran"
"All Countries","Vse države"
"An error occurred while saving the page.","Med shranjevanjem strani je prišlo do napake."
"Anchor Custom Text","Sidro teksta po meri"
"Anchor Custom Title","Sidro naslova po meri"
"Are you sure you want to delete current folder?","Ali ste prepričani, da želite izbrisati trenutni direktorij?"
"Are you sure you want to delete the selected file?","Ali ste prepričani, da želite izbrisati izbrano datoteko?"
"Block","Blok"
"Block Information","Informacije bloka"
"Block Title","Naslov bloka"
"CMS","CMS"
"CMS Content Wrapper","Ovoj vsebine CMS-a"
"CMS Home Page","Domača stran CMS-a"
"CMS No Cookies Page","Stran brez piškotkov CMS"
"CMS No Route Page","Stran CMS brez preusmerjanja"
"CMS No-Route Page","Stran CMS brez preusmerjanja"
"CMS Page","Stran CMS"
"CMS Page Link","Povezava strani CMS"
"CMS Page Link Block Template","Povezava strani CMS bloka predloge"
"CMS Page Link Inline Template","Povezava strani CMS medvrstične predloge"
"CMS Pages (All)","Strani CMS (vse)"
"CMS Static Block","Statičen blok CMS"
"CMS Static Block Default Template","Privzeta predloga statičnega bloka CMS"
"Cannot create new directory.","Novega direktorija ni mogoče ustvariti."
"Cannot delete directory %s.","Direktorija %s ni mogoče izbrisati."
"Cannot delete root directory %s.","Vrhnjega direktorija %s ni mogoče izbrisati."
"Cannot upload file.","Datoteke ni mogoče naložiti."
"Collapse All","Strnite vse"
"Content","Vsebina"
"Content Heading","Naslov vsebine"
"Content Management","Upravljanje vsebine"
"Contents of a Static Block","Vsebine statičnega bloka"
"Create Folder...","Ustvarite direktorij ..."
"Custom Design","Oblika po meri"
"Custom Design From","Oblikovanje po meri od"
"Custom Design To","Oblikovanje po meri za"
"Custom Layout","Postavitev po meri"
"Custom Layout Update XML","Posodobitev XML postavitve po meri"
"Custom Theme","Tema po meri"
"Customer Tax Class Information","Informacije davčnega razreda kupca"
"Date Created","Datum ustvarjanja"
"Delete Block","Izbrišite blok"
"Delete File","Izbrišite datoteko"
"Delete Folder","Izbrišite direktorij"
"Delete Page","Izbrišite stran"
"Description","Opis"
"Design","Oblikovanje"
"Disabled","Onemogočeno"
"Disabled Completely","Popolnoma onemogočeno"
"Disabled by Default","Privzeto onemogočeno"
"Edit Block","Urejanje bloka"
"Edit Block '%s'","Urejanje bloka '%s'"
"Edit Page","Uredite stran"
"Edit Page '%s'","Uredite stran '%s'"
"Enable WYSIWYG Editor","Omogočite urejevalnik WYSIWYG"
"Enabled","Omogočeno"
"Enabled by Default","Privzeto omogočeno"
"Expand All","Razširite vse"
"General Information","Splošne informacije"
"Go to Home Page","Pojdite na domačo stran"
"Home","Domov"
"ID","ID"
"Identifier","Identifikator"
"If empty, the Page Title will be used","Če je prazno, bo uporabljen naslov strani"
"Images (%s)","Slike (%s)"
"Insert File","Vstavite datoteko"
"Invalid folder name. Please, use alphanumeric characters, underscores and dashes.","Neveljavno ime direktorija. Uporabite alfanumerične znake, podčrtaje in pomišljaje."
"Keywords","Ključne besede"
"Last Modified","Zadnjič spremenjeno"
"Layout","Postavitev"
"Layout Update XML","Posodobitev postavitve XML"
"Link to a CMS Page","Poezava na stran CMS"
"Manage Pages","Upravljanje strani"
"Media Gallery","Galerija medijev"
"Media Storage","Skladiščenje medijev"
"Meta Data","Meta podatki"
"Meta Description","Meta opis"
"Meta Keywords","Meta ključne besede"
"New Block","Nov blok"
"New Folder Name:","Ime novega direktorija:"
"New Page","Nova stran"
"No files found","Najdenih ni nobenih datotek"
"Page Information","Informacije strani"
"Page Layout","Postavitev strani"
"Page Status","Status strani"
"Page Title","Naslov strani"
"Pages","Strani"
"Product Tax Class Information","Informacije razreda davka produkta"
"Redirect to CMS-page if Cookies are Disabled","Preusmeritev na stran CMS, če so piškotki onemogočeni"
"Relative to Website Base URL","Relativno na osnovni URL spletne strani"
"Save Block","Shranite blok"
"Save Page","Shranite stran"
"Save Process","Shranite proces"
"Select Block...","Izberite blok ..."
"Select Page...","Izberite stran ..."
"Show Breadcrumbs for CMS Pages","Prikažite pot za strani CMS"
"Show Notice if JavaScript is Disabled","Prikažite obvestilo, če je JavaScript onemogočen"
"Static Blocks","Statični bloki"
"Status","Status"
"Storage Root","Vrh skladiščenja"
"Store View","Pogled trgovine"
"Template","Predloga"
"The block has been deleted.","Blok je bil izbrisan."
"The block has been saved.","Blok je bil shranjen."
"The directory %s is not writable by server.","Direktorij %s ni zapisljiv s strani strežnika."
"The page URL key cannot consist only of numbers.","Ključ URL-ja strani ne more biti sestavljen samo iz številk."
"The page URL key contains capital letters or disallowed symbols.","Ključ URL-ja strani vsebuje velike črke ali nedovoljene znake."
"The page has been deleted.","Stran je bila izbrisana."
"The page has been saved.","Stran je bila shranjena."
"The static block content cannot contain  directive with its self.","Statičen blok vsebine ne more vsebovati direktive s samim sabo."
"This block no longer exists.","Ta blok ne obstaja več."
"This page no longer exists.","Ta stran ne obstaja več."
"Title","Naslov"
"URL Key","Ključ URL-ja"
"Unable to find a block to delete.","Bloka za brisanje ni bilo mogoče najti."
"Unable to find a page to delete.","Strani za brisanje ni bilo mogoče najti."
"WYSIWYG Options","Opcije WYSIWYG"
"px.","px."
