"Alert Email Sender","Pošiljatelj e-pošte opozorila"
"Alert subscription has been saved.","Opozorilo naročila je bilo shranjeno."
"Allow Alert When Product Comes Back in Stock","Omogoči opozorilo, ko bo produkt spet na zalogi"
"Allow Alert When Product Price Changes","Omogoči opozorilo, ko se cena produkta spremeni"
"Click here not to receive alerts for this product","Kliknite tu, da ne prejemate opozoril za ta produkt"
"Error Email Recipient","Prejemnik e-pošte napake"
"Error Email Sender","Pošiljatelj e-pošte napake"
"Error Email Template","Predloga e-pošte napake"
"Frequency","Pogostost"
"Not enough parameters.","Ni dovolj parametrov."
"Price Alert Email Template","Predloga e-pošte opozorila cene"
"Price:","Cena:"
"Product Alerts","Opozorila produkta"
"Product Alerts Run Settings","Zagonske nastavitve opozorila produkta"
"Product alerts Cron error","Napaka periodičnega opravila opozorila produkta"
"Product price alert","Opozorilo cene produkta"
"Product stock alert","Opozorilo zaloge produkta"
"Regular Price:","Običajna cena:"
"Sign up for price alert","Prijavite se na opozorilo o ceni"
"Sign up to get notified when this product is back in stock","Prijavite se, da dobite obvestilo, ko bo ta produkt spet na zalogi"
"Special price:","Posebna cena:"
"Start Time","Začetek"
"Stock Alert Email Template","Predloga e-pošte opozorila zaloge"
"The alert subscription has been deleted.","Naročilo na opozorilo je bila izbrisana."
"The alert subscription has been saved.","Naročilo na opozorilo je bila shranjena."
"The product is not found.","Produkta ni mogoče najti."
"The product was not found.","Produkta ni bilo mogoče najti."
"Unable to update the alert subscription.","Naročila na opozorilo ni bilo mogoče posodobiti."
"Unsubscribe from all price alerts","Odjavite se od vseh opozoril o cenah"
"Unsubscribe from all stock alerts","Odjavite se od vseh opozoril o zalogah"
"You are receiving this notification because you subscribed to receive alerts when the following products are back in stock:","To obvestilo ste prejeli, ker ste se naročili na prejemanje opozoril, ko bodo sledeči produkti nazaj na zalogi:"
"You are receiving this notification because you subscribed to receive alerts when the prices for the following products changed:","To obvestilo ste prejeli, ker ste se naročili na prejemanje opozoril, ko se cene sledečih produktov spremenijo:"
"You will no longer receive price alerts for this product.","Za ta produkt ne boste več prejemali opozoril o ceni."
"You will no longer receive stock alerts for this product.","Za ta produkt ne boste več prejemali opozoril o zalogi."
"You will no longer receive stock alerts.","Ne boste več prejemali opozoril o zalogi."
